### [09:12:46] build L2 daily @ 50km (tile=1000, matches original tile)
Building L2 for 2026-01 from L0=data/L0 → data/layouts_daily
  L2: 376 candidate region cells × 31 day(s) (granularity=daily)
  L2 [165/302] region_x=20/region_y=135 rows=7  sources=1
  L2 [166/302] region_x=21/region_y=122 rows=2525  sources=4
  L2 [167/302] region_x=21/region_y=123 rows=709  sources=2
  L2 [168/302] region_x=21/region_y=124 rows=1108  sources=2
  L2 [169/302] region_x=21/region_y=125 rows=1514  sources=2
  L2 [170/302] region_x=21/region_y=126 rows=834  sources=2
  L2 [171/302] region_x=21/region_y=127 rows=86  sources=1
  L2 [172/302] region_x=21/region_y=128 rows=50  sources=2
  L2 [173/302] region_x=21/region_y=129 rows=263  sources=3
  L2 [174/302] region_x=21/region_y=130 rows=98  sources=2
  L2 [175/302] region_x=21/region_y=131 rows=19  sources=1
  L2 [176/302] region_x=21/region_y=132 rows=5  sources=1
  L2 [177/302] region_x=21/region_y=133 rows=23  sources=1
  L2 [178/302] region_x=21/region_y=134 rows=8  sources=1
  L2 [179/302] region_x=21/region_y=135 rows=2  sources=1
  L2 [180/302] region_x=22/region_y=121 rows=1074  sources=2
  L2 [181/302] region_x=22/region_y=122 rows=1648  sources=2
  L2 [182/302] region_x=22/region_y=123 rows=403  sources=3
  L2 [183/302] region_x=22/region_y=124 rows=783  sources=3
  L2 [184/302] region_x=22/region_y=125 rows=435  sources=2
  L2 [185/302] region_x=22/region_y=126 rows=411  sources=2
  L2 [186/302] region_x=22/region_y=127 rows=269  sources=2
  L2 [187/302] region_x=22/region_y=128 rows=755  sources=2
  L2 [188/302] region_x=22/region_y=129 rows=113  sources=1
  L2 [189/302] region_x=22/region_y=131 rows=1  sources=1
  L2 [190/302] region_x=22/region_y=132 rows=12  sources=1
  L2 [191/302] region_x=22/region_y=133 rows=4  sources=1
  L2 [192/302] region_x=22/region_y=134 rows=12  sources=1
  L2 [193/302] region_x=23/region_y=121 rows=29  sources=2
  L2 [194/302] region_x=23/region_y=122 rows=59  sources=3
  L2 [195/302] region_x=23/region_y=123 rows=3  sources=2
  L2 [196/302] region_x=23/region_y=124 rows=55  sources=2
  L2 [197/302] region_x=23/region_y=125 rows=52  sources=1
  L2 [198/302] region_x=23/region_y=126 rows=30  sources=1
  L2 [199/302] region_x=23/region_y=127 rows=47  sources=1
  L2 [200/302] region_x=23/region_y=128 rows=470  sources=2
  L2 [201/302] region_x=23/region_y=129 rows=283  sources=1
  L2 [202/302] region_x=23/region_y=130 rows=90  sources=1
  L2 [203/302] region_x=23/region_y=131 rows=31  sources=1
  L2 [204/302] region_x=23/region_y=133 rows=1  sources=1
  L2 [205/302] region_x=23/region_y=134 rows=15  sources=1
  L2 [206/302] region_x=24/region_y=122 rows=15  sources=2
  L2 [207/302] region_x=24/region_y=123 rows=68  sources=2
  L2 [208/302] region_x=24/region_y=124 rows=327  sources=3
